,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
220,False,False,Word2Vec,True,64,8,10,20,0.4006892102806812,0.11096454994261233,0.4029777085942972,0.10875056063021406,0.0,0.0
221,False,False,FastText,True,32,8,20,2,0.40263899017521426,0.10907626237384502,0.24722558809466086,0.3387396645247852,0.0,0.0
222,False,True,Word2Vec,True,256,20,5,5,0.3730678220803456,0.14023961948845462,0.38319966154672436,0.12894454888851256,0.0,0.0
223,False,True,Word2Vec,True,128,8,5,20,0.46497541683961474,0.060020495412992154,0.4499505703322828,0.06994859257576042,0.0,0.0
224,False,True,FastText,True,64,8,10,20,0.34340181304281475,0.17717482077445124,0.30037908953501297,0.2414142723912359,0.0,0.0
225,False,True,Word2Vec,True,256,2,20,8,0.23572273399065977,0.36239615267412484,0.1409185852139567,0.5895623398605061,0.0,0.0
226,True,False,Word2Vec,True,128,20,5,20,0.46257779091071616,0.061530128208286905,0.48208989678458875,0.05003055694166164,0.0,9.523809523809524
227,False,False,FastText,True,32,8,5,5,0.3800143471423128,0.1324249284179741,0.26205912338034054,0.30958321926085586,0.0,0.0
228,False,True,FastText,True,256,2,20,8,0.22821773118562652,0.3783166685115228,0.31892100864211254,0.21214701629043492,0.0,0.0
229,False,False,Word2Vec,True,64,8,20,20,0.41802591896194324,0.09496637328684746,0.4499505703322828,0.06994859257576042,0.0,0.0
230,False,True,FastText,True,64,8,50,20,0.3178774017626571,0.28986919770031355,0.17320868555372373,0.5714667481008082,23.52941176470588,0.0
231,False,True,Word2Vec,True,32,2,20,2,0.18862139847433645,0.46844223109597677,0.2002527263566753,0.44092712693138314,0.0,0.0
232,False,False,FastText,True,32,8,5,8,0.3569894649462817,0.1595311316214148,0.27318427484460023,0.2887254752337663,0.0,0.0
233,True,True,FastText,True,32,8,5,8,0.42934904966927406,0.08545499021032398,0.29296232189217314,0.25379918563566767,0.0,0.0
234,True,False,Word2Vec,True,64,8,20,20,0.329380717123498,0.19669810956969064,0.2954345777731197,0.24962771770731426,0.0,5.0
235,True,True,FastText,True,64,20,50,5,0.2814220804091989,0.35161453425972833,0.17320868555372373,0.5714667481008082,23.52941176470588,0.0
236,False,False,Word2Vec,True,32,2,20,2,0.21460536444309997,0.4081547879594678,0.24598946015418757,0.3412382703128589,0.0,0.0
237,True,True,FastText,True,64,8,10,20,0.3746343651050029,0.1384502170505045,0.32633777628495236,0.2011140869817576,0.0,0.0
238,False,True,Word2Vec,True,128,20,20,20,0.4846518469473843,0.04864980923060577,0.43635316298707644,0.07992829197265709,0.0,0.0
239,False,False,FastText,True,128,20,5,20,0.2847243689974773,0.26801092669197785,0.32386552040400574,0.20474918256399632,0.0,0.0
240,True,False,Word2Vec,True,256,2,20,8,0.24910484931772137,0.33496129985810297,0.17676629548768252,0.4973362591720629,0.0,0.0
241,False,True,FastText,True,256,20,50,5,0.2598324523053105,0.391273622745478,0.27936884766729636,0.35528895180413633,23.52941176470588,0.0
242,False,True,FastText,True,32,2,5,5,0.3991063217826258,0.11251441554554897,0.30161521747548625,0.23938787026165792,0.0,0.0
243,True,False,FastText,True,256,20,5,20,0.251939905254895,0.32930750844755025,0.3955609409514574,0.1160411304269952,0.0,0.0
244,False,True,Word2Vec,True,256,8,20,8,0.3564675564293784,0.1601859402107375,0.37454676596341124,0.13854986038491204,0.0,0.0
245,True,False,Word2Vec,True,256,20,20,5,0.3803965540953924,0.1320039148508214,0.4116306041776104,0.10066205365350644,0.0,25.0
246,False,True,FastText,True,32,2,20,2,0.4387443880851817,0.07810240296279011,0.2509339719160808,0.3313072081208417,0.0,0.0
247,True,True,Word2Vec,True,256,2,5,5,0.20534521838444983,0.4291476604998352,0.1693495278448427,0.515834192866915,0.0,0.0
248,True,False,Word2Vec,True,256,20,50,5,0.32930761725067764,0.2718944899120438,0.3156867978640449,0.29339024923549306,23.52941176470588,31.25
249,True,False,Word2Vec,True,32,2,20,2,0.2375468769120801,0.3585842553998093,0.2546423557375007,0.32397008853261455,0.0,0.0
250,False,True,Word2Vec,True,256,8,5,2,0.3907930593890595,0.12090552481865866,0.44129767474896964,0.07618651960705085,0.0,0.0
251,False,False,Word2Vec,True,256,8,5,20,0.47944643937114767,0.05148583003078907,0.46972861737985566,0.057109188948783376,0.0,4.761904761904762
252,False,False,Word2Vec,True,32,8,5,8,0.3441023866643548,0.17623461554248931,0.32633777628495236,0.2011140869817576,0.0,0.0
253,True,False,Word2Vec,True,256,8,10,20,0.37565592315154234,0.13729185042038364,0.4190473718204502,0.09407854205698007,0.0,9.523809523809524
254,False,True,FastText,True,128,20,20,20,0.23959325935883513,0.35433495289848005,0.3164487527611659,0.21590992950317572,0.0,5.0
255,False,False,FastText,True,64,20,10,20,0.3008416739272428,0.24065468919509925,0.29790683365406634,0.24549942067393601,0.0,0.0
256,False,True,FastText,True,256,8,5,5,0.2835855515379933,0.2700132944200565,0.3300461601063723,0.19574094992634922,0.0,0.0
257,False,True,FastText,True,128,8,50,20,0.2684714493093996,0.37513449512184993,0.2151140127038182,0.48032169937175884,23.52941176470588,0.0
258,False,False,FastText,True,32,2,20,8,0.3545111062070204,0.16265676863482634,0.29667070571359305,0.24755817405382208,0.0,0.0
259,True,False,Word2Vec,True,32,2,5,5,0.10690233126254813,0.6830020821487387,0.08158444407123809,0.7555890239658646,0.0,0.0
260,True,True,FastText,True,256,20,10,5,0.25858900652630296,0.31626666524839225,0.3152126248206926,0.21780742039202328,0.0,4.761904761904762
261,False,False,FastText,True,32,2,5,2,0.41329346051510313,0.09915824987408232,0.2249752851661414,0.38531227745703467,0.0,0.0
262,True,True,Word2Vec,True,128,8,50,20,0.40395412102077866,0.17102355857796117,0.4330217138843094,0.1394008259774173,23.52941176470588,12.5
263,False,False,Word2Vec,True,256,2,20,2,0.2286915183006648,0.37730037335713634,0.2608229954398672,0.31195434688454726,0.0,0.0
264,False,False,Word2Vec,True,256,2,20,8,0.2056687556865591,0.4284048707173087,0.12361279404733043,0.6364506783338719,0.0,0.0
265,True,False,Word2Vec,True,256,8,20,5,0.3514029307312878,0.16663482680695513,0.3683661262610447,0.14570564434227606,0.0,15.0
266,True,False,FastText,True,256,20,10,20,0.22093095022105036,0.3941363461468256,0.3609493586182049,0.15462189697809428,0.0,4.761904761904762
267,False,False,FastText,True,32,2,5,8,0.3698118106612928,0.14400964630304744,0.2768926586660202,0.2819664239709679,0.0,0.0
268,False,False,Word2Vec,True,256,20,50,5,0.2746246919360942,0.3638577907141238,0.2821625361439693,0.3502945057522001,23.52941176470588,6.25
269,True,False,Word2Vec,True,64,8,10,20,0.3942390099968379,0.11737578414224008,0.43635316298707644,0.07992829197265709,0.0,0.0
