,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
567,False,False,Word2Vec,False,64,20,20,20,0.26886641658270105,0.22631052289242137,0.18310801767399323,0.41470022561701336,0.0,0.0
568,False,False,Word2Vec,True,256,8,10,5,0.26179646175706006,0.2392260093009591,0.15986520428503437,0.4772975353293445,0.0,18.181818181818183
569,False,False,FastText,True,128,20,5,5,0.18293607697161682,0.41514612400358275,0.13322100357086197,0.5544990498417603,0.0,0.0
570,True,False,Word2Vec,True,128,8,5,20,0.2700775470947899,0.22414501542685009,0.1876432007742779,0.4030337135238027,0.0,9.090909090909092
571,True,False,Word2Vec,False,64,20,5,5,0.2952765208392465,0.18217033113255937,0.22279086980148405,0.31896685182388607,0.0,27.27272727272727
572,False,True,FastText,True,32,2,20,8,0.11943295499030852,0.5965335170805061,0.06405946129152086,0.7770101230711555,0.0,0.0
573,True,True,Word2Vec,True,256,8,50,20,0.30903353604417017,0.16168755284967784,0.2602061303788325,0.24219596039852842,0.0,0.0
574,True,True,Word2Vec,True,256,8,10,20,0.32467841394121716,0.14040981837058003,0.23469572543973127,0.29310330374587606,0.0,0.0
575,False,False,FastText,False,256,2,20,5,-0.022845001442622685,0.9196214484891585,0.054989095090951526,0.8079668193222271,0.0,0.0
576,True,False,Word2Vec,False,64,20,20,5,0.3571691676821279,0.10271558323833667,0.24546678530290733,0.2708578168434653,0.0,9.090909090909092
577,True,True,Word2Vec,False,128,8,5,20,0.1948368382941514,0.3849060985586411,0.10657680285668958,0.6368851472171544,0.0,9.090909090909092
578,False,True,Word2Vec,True,64,20,5,5,0.35773974019428956,0.10212809077268807,0.21258670782584355,0.34219643761560714,0.0,18.181818181818183
579,False,True,Word2Vec,False,256,8,20,5,0.171145332711946,0.44634046677344674,0.10714370074422515,0.6350836098645631,0.0,9.090909090909092
580,False,True,Word2Vec,True,256,20,10,5,0.2746505472267594,0.21609193996615153,0.2199563803638061,0.3253216509496256,0.0,18.181818181818183
581,False,True,FastText,True,256,20,10,5,0.13967677025222336,0.5352898874024353,0.16553418316039017,0.4616059554900269,0.0,0.0
582,False,True,Word2Vec,True,128,20,5,5,0.3036432009107469,0.16951250092079134,0.2602061303788325,0.24219596039852842,0.0,9.090909090909092
583,True,True,Word2Vec,False,256,8,50,20,0.1754750638391225,0.43474508063508716,0.07086223594194785,0.7540024896871511,0.0,0.0
584,True,True,Word2Vec,False,256,2,5,2,0.05506665883383775,0.8077008486335489,-0.05895738030370062,0.794386226890732,0.0,9.090909090909092
585,False,False,Word2Vec,False,64,8,10,5,0.24190701869589748,0.2780882504499236,0.2171218909261282,0.33175183451916523,0.0,9.090909090909092
586,False,False,Word2Vec,True,64,20,5,5,0.31463386709272084,0.15382795770444369,0.16553418316039017,0.4616059554900269,0.0,9.090909090909092
587,True,False,FastText,False,256,20,50,5,0.08930550589459928,0.6926802514662654,0.2046501374003454,0.3609348152332349,0.0,18.181818181818183
588,False,False,Word2Vec,True,128,8,10,5,0.27488349606110873,0.21568693116734203,0.2176887888136638,0.3304597759729313,0.0,18.181818181818183
589,True,False,FastText,False,64,8,5,20,0.12955427400853867,0.5655459702355745,0.025510404939101228,0.9102780732917095,0.0,9.090909090909092
590,True,False,FastText,True,256,8,5,2,0.0963055465079066,0.6698608189951928,0.12641822892043497,0.575070702773572,0.0,0.0
591,False,False,Word2Vec,False,256,8,10,20,0.213486011487186,0.34011006774248237,0.08503468313033742,0.7067317015103489,0.0,0.0
592,False,False,FastText,False,64,8,50,5,0.05854084497169334,0.7958091012310916,0.06405946129152086,0.7770101230711555,0.0,18.181818181818183
593,False,False,Word2Vec,True,32,8,5,2,0.2809316377994204,0.2053477750239528,0.10430921130654723,0.6441110384529862,0.0,18.181818181818183
594,False,False,Word2Vec,True,128,8,5,20,0.3108306422441557,0.15913562310591559,0.1683686725980681,0.45386115996681486,0.0,9.090909090909092
595,False,False,Word2Vec,False,64,20,20,5,0.278271880135971,0.20985281702081962,0.19671356697484724,0.38025374492319697,0.0,9.090909090909092
596,True,False,Word2Vec,False,128,20,10,20,0.24370109116471828,0.2744292110317642,0.16383348949778342,0.4662852953851314,0.0,9.090909090909092
597,True,False,FastText,False,64,20,5,5,0.2429008184413332,0.27605761340963714,0.2380971127649448,0.2859597261684691,0.0,9.090909090909092
598,True,True,FastText,False,64,8,50,5,0.14080641248458287,0.5319607704032171,0.05668978875355828,0.802139786715333,0.0,9.090909090909092
599,False,True,Word2Vec,False,256,2,5,8,0.14666207265180367,0.5148606075233452,0.06689395072919876,0.7674004670178668,0.0,0.0
600,False,False,Word2Vec,True,256,20,50,20,0.34218855085204,0.11904179787908944,0.24773437685304966,0.26631456322891855,0.0,0.0
601,False,True,FastText,True,128,20,50,5,0.13033631821387326,0.5631817083007984,0.157597612734892,0.4836486439788491,0.0,0.0
602,False,True,FastText,True,128,20,10,20,0.24783735128909334,0.26610940354425755,0.1190485563824724,0.5977243119035658,0.0,0.0
603,True,True,Word2Vec,False,256,8,5,2,0.18841559062147076,0.40106504522672304,0.044218035227775454,0.8450879801171803,0.0,9.090909090909092
604,True,True,Word2Vec,False,256,20,5,20,0.22791921123637685,0.3076614491809742,0.15986520428503437,0.4772975353293445,0.0,0.0
605,False,True,FastText,False,32,2,20,2,-0.10482182455093292,0.6424748020587746,-0.10487610919408281,0.6423016216739541,0.0,9.090909090909092
606,False,False,Word2Vec,True,256,2,5,2,0.17954764506005824,0.4239866023619538,0.023242813388958894,0.9182262683864659,0.0,18.181818181818183
607,False,False,Word2Vec,True,32,2,5,8,0.26292524944442075,0.23713243562429898,0.10090782398133376,0.6550081435111077,0.0,9.090909090909092
608,False,False,FastText,True,256,8,10,20,0.12537643135148505,0.578250232068915,0.16269969372271229,0.4694182962268776,0.0,0.0
609,True,True,Word2Vec,False,128,20,50,20,0.24294107865914943,0.2759755466307305,0.18650940499920676,0.4059331864457656,0.0,27.27272727272727
610,False,False,FastText,True,64,20,10,5,0.2856108261173032,0.19758062163109424,0.16610108104792576,0.46005157247779094,0.0,0.0
